Date,Vulnerability,ARTHM,DOS,LE,RENT,TimeM,TimeO,TX-Origin,UE
27th January 2022,Total Warnings,0,0,1262,499,47,0,5,9
27th January 2022,Unique Contracts,0,0,1262,332,46,0,5,8
6th February 2022,Total Warnings,91,0,1262,510,48,0,5,9
6th February 2022,Unique Contracts,89,0,1262,337,47,0,5,8
